enquiry_id,enquiry_datetime,destination,status,source,travelers,budget_inr,latitude,longitude
ENQ00001,2026-06-23 21:20:00,Udaipur,New,Google Ads,5,38408.0,24.63403910225373,73.5715577101702
ENQ00002,2026-05-01 18:49:00,Ladakh,Contacted,Referral,3,67033.0,34.124459362824915,77.50929121060531
ENQ00003,2026-01-12 12:06:00,Goa,Qualified,Google Ads,1,27369.0,15.497340889863642,74.07065625943028
ENQ00004,2026-06-14 19:07:00,Udaipur,Contacted,Website,4,21397.0,24.591262325812917,73.72262606418202
ENQ00005,2026-01-31 07:12:00,Goa,New,Referral,1,37569.0,15.172141736725068,74.08191716715655
ENQ00006,2026-03-10 13:16:00,Goa,Contacted,WhatsApp,4,34351.0,15.33168132101194,74.1308577820193
ENQ00007,2026-02-12 17:27:00,Manali,Contacted,Website,6,30601.0,32.059167122239366,77.14384068443964
ENQ00008,2026-05-10 07:56:00,Ladakh,Contacted,Website,1,23432.0,34.23426573291575,77.62405783418504
ENQ00009,2026-01-06 18:39:00,Jaipur,Booked,Google Ads,6,50527.0,27.009842668146018,75.70844821300614
ENQ00010,2026-04-26 20:23:00,Manali,New,Google Ads,4,52287.0,32.34567436282233,77.18564751613687
ENQ00011,2026-06-05 16:12:00,Varanasi,Qualified,Instagram,1,24763.0,25.444977800075115,82.9741643547267
ENQ00012,2026-05-22 10:38:00,Jaipur,New,Google Ads,5,26354.0,26.748601960582857,75.85524036570457
ENQ00013,2026-02-25 18:15:00,Udaipur,Lost,Google Ads,1,42534.0,24.549918905762027,73.68240163109053
ENQ00014,2026-06-11 12:58:00,Ladakh,Booked,Instagram,4,25910.0,34.03635228551442,77.70677595992048
ENQ00015,2026-03-07 18:28:00,Jaipur,Lost,Website,4,43349.0,26.870711906095774,75.913302861993
ENQ00016,2026-05-03 17:33:00,Goa,Lost,Website,5,77440.0,15.264800547072573,74.04978038382805
ENQ00017,2026-04-02 08:54:00,Ladakh,Contacted,Instagram,3,38938.0,34.258162333922385,77.57113322007999
ENQ00018,2026-01-13 08:18:00,Goa,Booked,WhatsApp,1,23168.0,15.294214239411588,74.02146992477735
ENQ00019,2026-01-01 07:28:00,Jaipur,Contacted,Google Ads,3,47719.0,26.875790131624303,75.82159566589048
ENQ00020,2026-02-02 08:31:00,Ladakh,Lost,Instagram,5,36927.0,34.04866560049929,77.53387298446626
ENQ00021,2026-06-18 11:16:00,Ladakh,Qualified,WhatsApp,6,37386.0,34.1189642850074,77.58231526437712
ENQ00022,2026-06-21 07:03:00,Kerala,Qualified,Instagram,2,49540.0,10.968864771651061,76.24710374936137
ENQ00023,2026-03-15 22:17:00,Kerala,Lost,Instagram,3,54590.0,10.795259947006995,76.49080965056197
ENQ00024,2026-06-24 21:06:00,Ladakh,Lost,Website,6,40644.0,34.11794517171813,77.56174734710646
ENQ00025,2026-01-09 09:40:00,Kerala,Lost,Referral,2,38923.0,10.821872290464718,76.24895847191124
ENQ00026,2026-06-24 11:00:00,Kerala,New,Google Ads,2,101238.0,10.856720389041277,76.34476371820746
ENQ00027,2026-02-11 18:18:00,Udaipur,Contacted,Referral,5,68657.0,24.617719017861873,73.79866764506932
ENQ00028,2026-01-07 17:53:00,Kerala,Contacted,Website,3,58205.0,10.934022293968594,76.28778416844928
ENQ00029,2026-05-17 16:34:00,Manali,Qualified,Instagram,4,42433.0,32.273304957605106,77.27789893410149
ENQ00030,2026-03-10 22:40:00,Manali,Qualified,Website,3,25439.0,32.1543032057598,77.38905689617907
ENQ00031,2026-02-22 17:40:00,Manali,Contacted,WhatsApp,4,66434.0,32.202193189557796,77.16112280627448
