property_id,neighborhood,property_type,price,area_sqft,bedrooms,bathrooms,age_years
PROP0001,Jayanagar,Apartment,10989330.0,1173.0,2.0,2.0,6.3
PROP0002,Koramangala,Studio,15590108.0,1236.0,2.0,1.0,5.6
PROP0003,Electronic City,Villa,12438933.0,2159.0,4.0,5.0,21.8
PROP0004,HSR Layout,Villa,7887791.0,909.0,2.0,3.0,9.6
PROP0005,Indiranagar,Apartment,3294418.0,350.0,1.0,1.0,0.8
PROP0006,Electronic City,Studio,14540381.0,2288.0,4.0,5.0,3.7
PROP0007,Jayanagar,Apartment,27150612.0,,4.0,3.0,12.2
PROP0008,Jayanagar,Independent House,10625803.0,1239.0,1.0,1.0,15.0
PROP0009,Indiranagar,Apartment,6472870.0,443.0,1.0,2.0,5.4
PROP0010,Koramangala,Apartment,-1000.0,1289.0,2.0,1.0,
PROP0011,Whitefield,Independent House,10105810.0,1301.0,2.0,2.0,17.4
PROP0012,Electronic City,Apartment,8373966.0,1351.0,2.0,1.0,8.7
PROP0013,HSR Layout,Apartment,8725941.0,871.0,1.0,2.0,7.2
PROP0014,Jayanagar,Villa,16608861.0,1751.0,4.0,4.0,4.1
PROP0015,Koramangala,Apartment,22046619.0,1723.0,3.0,3.0,18.7
PROP0016,Whitefield,Apartment,5949544.0,673.0,1.0,2.0,0.2
PROP0017,Koramangala,Apartment,22643922.0,1814.0,3.0,3.0,32.0
PROP0018,Indiranagar,Apartment,28091222.0,2517.0,4.0,5.0,1.4
PROP0019,Jayanagar,Apartment,14001186.0,1539.0,2.0,1.0,10.4
PROP0020,HSR Layout,Apartment,14188975.0,1275.0,2.0,1.0,12.5
PROP0021,Jayanagar,Apartment,12868401.0,1376.0,3.0,4.0,13.2
PROP0022,Whitefield,Apartment,,1770.0,2.0,3.0,38.7
PROP0023,Electronic City,Apartment,2144478.0,550.0,1.0,1.0,2.4
PROP0024,Electronic City,Villa,7553430.0,1535.0,2.0,2.0,21.5
PROP0025,Jayanagar,Villa,12376127.0,1247.0,2.0,1.0,7.4
PROP0026,Whitefield,Apartment,17320623.0,2411.0,4.0,5.0,18.9
PROP0027,Koramangala,Apartment,15515591.0,1359.0,1.0,2.0,5.6
PROP0028,Indiranagar,Independent House,25738003.0,2317.0,4.0,3.0,8.1
PROP0029,Indiranagar,Apartment,11076621.0,876.0,2.0,2.0,4.9
PROP0030,HSR Layout,Apartment,19321741.0,1755.0,3.0,3.0,
PROP0031,Jayanagar,Apartment,15552066.0,1616.0,2.0,2.0,7.0
PROP0032,Electronic City,Apartment,5979317.0,998.0,,2.0,10.4
PROP0033,Whitefield,Studio,12580205.0,1542.0,3.0,2.0,12.4
PROP0034,Whitefield,Independent House,16759441.0,2081.0,2.0,1.0,12.5
PROP0035,Koramangala,Independent House,15327915.0,1282.0,2.0,1.0,10.7
PROP0036,Whitefield,Apartment,4461178.0,570.0,1.0,2.0,13.3
PROP0037,Indiranagar,Apartment,15922236.0,1441.0,3.0,3.0,13.6
PROP0038,Koramangala,Apartment,,981.0,1.0,2.0,8.4
PROP0039,Whitefield,Apartment,9221271.0,1272.0,2.0,2.0,22.9
PROP0040,HSR Layout,Apartment,14383519.0,1408.0,3.0,2.0,10.4
PROP0041,Koramangala,Villa,7929709.0,563.0,2.0,2.0,14.7
PROP0042, jayanagar ,Apartment,6629467.0,610.0,1.0,1.0,-3.0
PROP0043,HSR Layout,Independent House,17967684.0,1701.0,3.0,4.0,19.8
PROP0044,Whitefield,Apartment,,,1.0,2.0,2.5
PROP0045, jayanagar ,Apartment,3120323.0,350.0,1.0,2.0,10.0
PROP0046,Jayanagar,Independent House,-1000.0,1858.0,,3.0,10.9
PROP0047,Whitefield,Villa,12554521.0,1592.0,2.0,1.0,17.9
PROP0048,Whitefield,Apartment,10426635.0,1079.0,2.0,1.0,18.0
PROP0049,HSR Layout,Apartment,7136786.0,765.0,1.0,1.0,8.9
PROP0050,Indiranagar,Apartment,20056551.0,1885.0,3.0,3.0,8.9
PROP0051,Whitefield,Apartment,12882240.0,1632.0,3.0,4.0,4.6
PROP0052,Indiranagar,Apartment,29396998.0,2689.0,5.0,6.0,5.9
PROP0053,Jayanagar,Apartment,17447973.0,1668.0,2.0,,17.0
PROP0054,HSR Layout,Apartment,16407722.0,1652.0,3.0,2.0,15.7
PROP0055,HSR Layout,Apartment,14805786.0,1363.0,3.0,3.0,11.8
PROP0056,Jayanagar,Villa,19182949.0,50.0,2.0,2.0,1.0
PROP0057,Koramangala,Studio,22047786.0,1775.0,2.0,1.0,12.9
PROP0058,Koramangala,Apartment,113500552.5,2101.0,4.0,5.0,27.2
PROP0059,Indiranagar,Apartment,13879847.0,1179.0,2.0,3.0,4.4
PROP0060,Indiranagar,Apartment,14038464.0,1224.0,2.0,2.0,14.3
PROP0061,HSR Layout,Studio,12848155.0,1201.0,3.0,2.0,25.9
PROP0062,Koramangala,Villa,23357968.0,1861.0,3.0,4.0,7.6
PROP0063, koramangala ,Villa,27516252.0,2229.0,4.0,3.0,-3.0
PROP0064,Jayanagar,Apartment,11525732.0,1211.0,3.0,3.0,8.6
PROP0065, hsr layout ,Apartment,12699551.0,1229.0,2.0,3.0,27.5
PROP0066, koramangala ,Apartment,20172572.0,1613.0,2.0,3.0,0.7
PROP0067,Koramangala,Apartment,15922279.0,1322.0,2.0,1.0,5.9
PROP0068,Whitefield,Villa,14174445.0,1945.0,3.0,3.0,9.6
PROP0069,Indiranagar,Apartment,3305008.0,50.0,1.0,1.0,17.4
PROP0070,Koramangala,Apartment,12764719.0,1020.0,,1.0,6.9
PROP0071,Whitefield,Apartment,8001850.0,1043.0,3.0,3.0,6.3
PROP0072,Koramangala,Apartment,4435929.0,350.0,1.0,2.0,16.2
PROP0073,Electronic City,Apartment,5993223.0,949.0,,2.0,9.9
PROP0074,Whitefield,Apartment,7141140.0,974.0,2.0,2.0,16.5
PROP0075,Indiranagar,Independent House,15811599.0,1345.0,2.0,1.0,12.8
PROP0076,Whitefield,Independent House,15559528.0,2029.0,3.0,2.0,3.8
PROP0077,Whitefield,Independent House,9767962.0,1323.0,2.0,1.0,8.9
PROP0078,HSR Layout,Villa,9826525.0,914.0,1.0,1.0,15.4
PROP0079,Koramangala,Villa,15871951.0,1420.0,3.0,2.0,19.5
PROP0080,Jayanagar,Apartment,18767690.0,1996.0,4.0,5.0,5.9
PROP0081,HSR Layout,Apartment,10555508.0,943.0,12.0,1.0,
PROP0082,Koramangala,Apartment,10977756.0,977.0,1.0,1.0,2.2
PROP0083, jayanagar ,Apartment,17706008.0,1740.0,3.0,3.0,7.8
PROP0084,Indiranagar,Apartment,15541540.0,1335.0,2.0,1.0,
PROP0085,Indiranagar,Apartment,18689811.0,1787.0,3.0,3.0,
PROP0086,Indiranagar,Independent House,15978392.0,1443.0,2.0,,2.8
PROP0087,HSR Layout,Apartment,18638693.0,1815.0,3.0,2.0,24.2
PROP0088,Koramangala,Apartment,10909173.0,912.0,1.0,1.0,6.2
PROP0089,Indiranagar,Apartment,16449123.0,1444.0,3.0,4.0,0.8
PROP0090,Koramangala,Apartment,15971046.0,1340.0,2.0,2.0,8.3
PROP0091,Indiranagar,Independent House,8492262.0,818.0,2.0,2.0,7.3
PROP0092,HSR Layout,Apartment,5772121.0,637.0,1.0,1.0,21.4
PROP0093,Koramangala,Independent House,22499981.0,1807.0,4.0,3.0,6.5
PROP0094,Whitefield,Studio,9961168.0,1268.0,3.0,2.0,30.9
PROP0095,Whitefield,Apartment,6631281.0,918.0,2.0,2.0,20.1
PROP0096,HSR Layout,Apartment,13578292.0,1400.0,2.0,1.0,11.1
PROP0097,Whitefield,Apartment,14986841.0,2037.0,,5.0,4.6
PROP0098,Indiranagar,Apartment,4051953.0,350.0,1.0,1.0,12.5
PROP0099,Indiranagar,Apartment,8504238.0,672.0,1.0,1.0,9.3
PROP0100,Electronic City,Independent House,5981827.0,970.0,2.0,2.0,15.2
PROP0101,Electronic City,Apartment,12437385.0,2210.0,4.0,3.0,
PROP0102,HSR Layout,Independent House,15499168.0,1597.0,3.0,3.0,44.9
PROP0103,Whitefield,Apartment,13955158.0,1849.0,3.0,4.0,7.2
PROP0104,Electronic City,Independent House,4809794.0,857.0,2.0,1.0,17.7
PROP0105,Jayanagar,Apartment,7697673.0,868.0,2.0,2.0,7.5
PROP0106,,Apartment,18446569.0,,3.0,2.0,5.2
PROP0107,Koramangala,Apartment,16156976.0,1480.0,1.0,1.0,11.0
PROP0108,Whitefield,Apartment,13859944.0,1735.0,3.0,2.0,6.4
PROP0109,Indiranagar,Studio,14512244.0,1352.0,2.0,2.0,1.5
PROP0110,Electronic City,Apartment,9226996.0,1595.0,2.0,2.0,3.2
PROP0111,Koramangala,Apartment,20302082.0,1532.0,3.0,2.0,3.7
PROP0112,Whitefield,Apartment,13732920.0,1854.0,4.0,4.0,5.5
PROP0113,Whitefield,Apartment,13842134.0,1870.0,12.0,4.0,23.8
PROP0114,HSR Layout,Apartment,6145110.0,608.0,1.0,2.0,10.4
PROP0115,Whitefield,Apartment,,350.0,1.0,1.0,7.3
PROP0116,Electronic City,Apartment,11276477.0,1971.0,3.0,3.0,15.3
PROP0117,Jayanagar,Apartment,19025591.0,2068.0,4.0,5.0,10.5
PROP0118,HSR Layout,Apartment,8981070.0,919.0,,1.0,11.9
PROP0119,Koramangala,Independent House,6804233.0,483.0,1.0,,8.3
PROP0120,HSR Layout,Apartment,15698100.0,1501.0,2.0,2.0,5.0
PROP0121,HSR Layout,Villa,20568225.0,1934.0,4.0,3.0,10.0
PROP0122,HSR Layout,Apartment,24348878.0,2385.0,4.0,3.0,9.4
PROP0123,Indiranagar,Apartment,18185528.0,1718.0,3.0,3.0,18.0
PROP0124,Koramangala,Apartment,16459810.0,1257.0,2.0,2.0,10.2
PROP0125,Indiranagar,Apartment,10650712.0,986.0,1.0,2.0,5.8
PROP0126, koramangala ,Apartment,17828506.0,1456.0,3.0,3.0,5.5
PROP0127,Whitefield,Apartment,10767230.0,1294.0,2.0,3.0,37.4
PROP0128,Indiranagar,Apartment,9622083.0,922.0,1.0,1.0,1.0
PROP0129,Indiranagar,Independent House,26407598.0,2515.0,4.0,5.0,22.6
PROP0130,HSR Layout,Apartment,24289528.0,2378.0,4.0,3.0,12.3
PROP0131,Whitefield,Apartment,15599533.0,2041.0,4.0,3.0,14.4
PROP0132,Electronic City,Apartment,5895435.0,971.0,2.0,3.0,18.8
PROP0133,HSR Layout,Apartment,21151358.0,1895.0,3.0,4.0,13.2
PROP0134,Whitefield,Villa,14045402.0,1783.0,3.0,4.0,8.1
PROP0135,HSR Layout,Apartment,14544065.0,1680.0,3.0,2.0,29.2
PROP0136,Indiranagar,Apartment,23125393.0,2100.0,3.0,2.0,
PROP0137,Electronic City,Apartment,10504300.0,1780.0,4.0,5.0,6.5
PROP0138,Koramangala,Apartment,22396880.0,1835.0,2.0,2.0,25.3
PROP0139,Jayanagar,Independent House,17618448.0,1781.0,4.0,3.0,2.0
PROP0140,Indiranagar,Apartment,17474254.0,1627.0,3.0,4.0,30.3
PROP0141,Koramangala,Studio,6477626.0,523.0,1.0,2.0,14.9
PROP0142,Koramangala,Apartment,19017581.0,1493.0,3.0,2.0,1.8
PROP0143, electronic city ,Independent House,6410711.0,1161.0,2.0,3.0,16.3
PROP0144,HSR Layout,Apartment,7509393.0,784.0,2.0,3.0,7.7
PROP0145,Koramangala,Apartment,30786284.0,2325.0,4.0,4.0,6.7
PROP0146,Whitefield,Studio,17305059.0,2349.0,4.0,,14.9
PROP0147,Whitefield,Apartment,16352375.0,2157.0,4.0,3.0,11.4
PROP0148,Koramangala,Apartment,17578817.0,1583.0,3.0,4.0,20.3
PROP0149,Koramangala,Independent House,26861125.0,2152.0,4.0,5.0,2.3
PROP0150,Indiranagar,Apartment,14745582.0,1456.0,3.0,4.0,15.8
PROP0151,Jayanagar,Villa,14439243.0,1555.0,2.0,3.0,13.6
PROP0152,Electronic City,Villa,5884337.0,881.0,2.0,1.0,17.4
PROP0153,Indiranagar,Studio,18280719.0,1656.0,3.0,3.0,7.0
PROP0154,Koramangala,Independent House,18766858.0,1481.0,3.0,3.0,34.2
PROP0155,Indiranagar,Apartment,6978769.0,773.0,2.0,3.0,14.5
PROP0156,HSR Layout,Apartment,15822695.0,1423.0,2.0,2.0,9.5
PROP0157,Whitefield,Apartment,10148890.0,50.0,2.0,2.0,1.2
PROP0158,HSR Layout,Apartment,25628094.0,2385.0,4.0,3.0,7.7
PROP0159,HSR Layout,Studio,19811930.0,1915.0,2.0,3.0,18.0
PROP0160,Jayanagar,Apartment,14420453.0,1456.0,3.0,3.0,26.0
PROP0161,Indiranagar,Apartment,16484179.0,1579.0,3.0,2.0,10.6
PROP0162,Electronic City,Apartment,8235351.0,1473.0,2.0,3.0,28.8
PROP0163,Whitefield,Apartment,10015582.0,50.0,1.0,1.0,4.7
PROP0164,Indiranagar,Independent House,9726669.0,887.0,1.0,1.0,13.9
PROP0165,Koramangala,Apartment,16713143.0,1371.0,3.0,2.0,14.2
PROP0166,Whitefield,Apartment,6581537.0,1062.0,1.0,1.0,15.9
PROP0167,Jayanagar,Studio,8562666.0,800.0,1.0,1.0,
PROP0168,Jayanagar,Independent House,16538770.0,1716.0,2.0,3.0,13.4
PROP0169,Whitefield,Apartment,12553469.0,1653.0,3.0,3.0,4.6
PROP0170,Electronic City,Independent House,2698095.0,521.0,,1.0,24.4
PROP0171,Whitefield,Apartment,10709564.0,1386.0,2.0,1.0,19.4
PROP0172,Koramangala,Studio,23343114.0,1968.0,4.0,4.0,13.0
PROP0173,Whitefield,Apartment,13429143.0,2001.0,4.0,3.0,19.7
PROP0174,Electronic City,Apartment,11492908.0,1983.0,3.0,4.0,24.9
PROP0175,Indiranagar,Villa,16219471.0,1470.0,2.0,1.0,15.7
PROP0176,Indiranagar,Apartment,10643417.0,1011.0,2.0,2.0,36.5
PROP0177,Koramangala,Apartment,10268822.0,886.0,2.0,1.0,16.6
PROP0178,Electronic City,Apartment,9805656.0,1629.0,3.0,2.0,5.2
PROP0179,Electronic City,Apartment,8741690.0,,3.0,2.0,12.6
PROP0180,Jayanagar,Apartment,19826738.0,2119.0,4.0,3.0,20.2
PROP0181,Electronic City,Apartment,11588161.0,2022.0,3.0,,24.9
PROP0182,Electronic City,Apartment,8831688.0,1381.0,3.0,4.0,11.9
PROP0183,Koramangala,Independent House,9685720.0,803.0,1.0,2.0,4.9
PROP0184,Whitefield,Independent House,9534595.0,1284.0,3.0,2.0,8.9
PROP0185,Jayanagar,Apartment,16549356.0,1563.0,3.0,4.0,3.2
PROP0186,,Apartment,,1345.0,3.0,3.0,17.8
PROP0187,Whitefield,Apartment,9087410.0,1149.0,2.0,1.0,
PROP0188,Indiranagar,Apartment,17094902.0,1582.0,2.0,1.0,6.0
PROP0189,Jayanagar,Independent House,10850753.0,1188.0,2.0,2.0,19.0
PROP0190,Whitefield,Apartment,7186037.0,1123.0,2.0,2.0,28.4
PROP0191,Electronic City,Apartment,10275569.0,1612.0,3.0,2.0,5.9
PROP0192,Whitefield,Apartment,9858035.0,1241.0,1.0,2.0,11.9
PROP0193,Indiranagar,Apartment,17017278.0,1577.0,2.0,3.0,9.1
PROP0194,Jayanagar,Independent House,15169636.0,1592.0,2.0,2.0,25.7
PROP0195,Indiranagar,Villa,9754644.0,857.0,1.0,2.0,10.0
PROP0196,Whitefield,Apartment,8163647.0,1200.0,2.0,3.0,4.5
PROP0197,HSR Layout,Apartment,22114016.0,2198.0,4.0,5.0,10.3
PROP0198,Electronic City,Independent House,4066035.0,846.0,1.0,1.0,22.3
PROP0199, whitefield ,Apartment,3931515.0,350.0,1.0,2.0,8.7
PROP0200,Whitefield,Independent House,4369048.0,482.0,1.0,1.0,6.5
PROP0201,Jayanagar,Independent House,12516884.0,,2.0,3.0,9.6
PROP0202,Electronic City,Apartment,7670321.0,1466.0,3.0,4.0,4.6
PROP0203,Koramangala,Independent House,17139071.0,1389.0,2.0,1.0,9.1
PROP0204,Indiranagar,Apartment,22409749.0,2081.0,3.0,3.0,6.9
PROP0205,Indiranagar,Villa,2482208.0,350.0,1.0,1.0,40.8
PROP0206,Whitefield,Apartment,14238783.0,1656.0,3.0,2.0,1.6
