property_id,neighborhood,property_type,price,area_sqft,bedrooms,bathrooms,age_years,price_outlier,price_per_sqft,size_band
PROP0001,Jayanagar,Apartment,10989330.0,1173.0,2.0,2.0,6.3,False,9368.567774936062,Medium
PROP0002,Koramangala,Studio,15590108.0,1236.0,2.0,1.0,5.6,False,12613.355987055016,Medium
PROP0003,Electronic City,Villa,12438933.0,2159.0,4.0,5.0,21.8,False,5761.432607688745,Large
PROP0004,Hsr Layout,Villa,7887791.0,909.0,2.0,3.0,9.6,False,8677.437843784379,Medium
PROP0005,Indiranagar,Apartment,3294418.0,350.0,1.0,1.0,0.8,False,9412.622857142856,Small
PROP0006,Electronic City,Studio,14540381.0,2288.0,4.0,5.0,3.7,False,6355.061625874126,Very Large
PROP0007,Jayanagar,Apartment,27150612.0,1485.0,4.0,3.0,12.2,False,18283.240404040404,Large
PROP0008,Jayanagar,Independent House,10625803.0,1239.0,1.0,1.0,15.0,False,8576.11218724778,Medium
PROP0009,Indiranagar,Apartment,6472870.0,443.0,1.0,2.0,5.4,False,14611.444695259594,Small
PROP0010,Koramangala,Apartment,17065078.0,1289.0,2.0,1.0,10.6,False,13239.00543056633,Medium
PROP0011,Whitefield,Independent House,10105810.0,1301.0,2.0,2.0,17.4,False,7767.72482705611,Medium
PROP0012,Electronic City,Apartment,8373966.0,1351.0,2.0,1.0,8.7,False,6198.346410066617,Medium
PROP0013,Hsr Layout,Apartment,8725941.0,871.0,1.0,2.0,7.2,False,10018.301951779564,Medium
PROP0014,Jayanagar,Villa,16608861.0,1751.0,4.0,4.0,4.1,False,9485.357509994288,Large
PROP0015,Koramangala,Apartment,22046619.0,1723.0,3.0,3.0,18.7,False,12795.484039466048,Large
PROP0016,Whitefield,Apartment,5949544.0,673.0,1.0,2.0,0.2,False,8840.332838038634,Small
PROP0017,Koramangala,Apartment,22643922.0,1814.0,3.0,3.0,32.0,False,12482.86769570011,Large
PROP0018,Indiranagar,Apartment,28091222.0,2517.0,4.0,5.0,1.4,False,11160.596742153357,Very Large
PROP0019,Jayanagar,Apartment,14001186.0,1539.0,2.0,1.0,10.4,False,9097.586744639377,Large
PROP0020,Hsr Layout,Apartment,14188975.0,1275.0,2.0,1.0,12.5,False,11128.607843137255,Medium
PROP0021,Jayanagar,Apartment,12868401.0,1376.0,3.0,4.0,13.2,False,9352.035610465116,Medium
PROP0022,Whitefield,Apartment,11506834.5,1770.0,2.0,3.0,38.7,False,6501.036440677966,Large
PROP0023,Electronic City,Apartment,2144478.0,550.0,1.0,1.0,2.4,False,3899.050909090909,Small
PROP0024,Electronic City,Villa,7553430.0,1535.0,2.0,2.0,21.5,False,4920.801302931596,Large
PROP0025,Jayanagar,Villa,12376127.0,1247.0,2.0,1.0,7.4,False,9924.720930232557,Medium
PROP0026,Whitefield,Apartment,17320623.0,2411.0,4.0,5.0,18.9,False,7183.999585234343,Very Large
PROP0027,Koramangala,Apartment,15515591.0,1359.0,1.0,2.0,5.6,False,11416.917586460633,Medium
PROP0028,Indiranagar,Independent House,25738003.0,2317.0,4.0,3.0,8.1,False,11108.331031506257,Very Large
PROP0029,Indiranagar,Apartment,11076621.0,876.0,2.0,2.0,4.9,False,12644.544520547945,Medium
PROP0030,Hsr Layout,Apartment,19321741.0,1755.0,3.0,3.0,10.6,False,11009.53903133903,Large
PROP0031,Jayanagar,Apartment,15552066.0,1616.0,2.0,2.0,7.0,False,9623.803217821782,Large
PROP0032,Electronic City,Apartment,5979317.0,998.0,2.0,2.0,10.4,False,5991.299599198397,Medium
PROP0033,Whitefield,Studio,12580205.0,1542.0,3.0,2.0,12.4,False,8158.369001297016,Large
PROP0034,Whitefield,Independent House,16759441.0,2081.0,2.0,1.0,12.5,False,8053.5516578567995,Large
PROP0035,Koramangala,Independent House,15327915.0,1282.0,2.0,1.0,10.7,False,11956.251950078004,Medium
PROP0036,Whitefield,Apartment,4461178.0,570.0,1.0,2.0,13.3,False,7826.628070175439,Small
