booking_id,booking_date,user_id,full_name,customer_city,segment,property_name,destination,property_type,nights,status,total_amount,revenue_per_night,booking_month
31,2026-06-29,1,Customer 001,Delhi,Budget,Manali Stay 3,Manali,Hotel,5,Completed,52215,10443.0,2026-06
488,2026-07-31,1,Customer 001,Delhi,Budget,Jaipur Stay 4,Jaipur,Hotel,7,Confirmed,21595,3085.0,2026-07
25,2025-10-20,2,Customer 002,Pune,Premium,Udaipur Stay 4,Udaipur,Hostel,4,Completed,11468,2867.0,2025-10
171,2026-07-08,2,Customer 002,Pune,Premium,Udaipur Stay 7,Udaipur,Hotel,2,Completed,12392,6196.0,2026-07
238,2026-03-16,2,Customer 002,Pune,Premium,Varanasi Stay 7,Varanasi,Homestay,2,Completed,16776,8388.0,2026-03
793,2025-08-08,2,Customer 002,Pune,Premium,Jaipur Stay 5,Jaipur,Resort,5,Completed,12070,2414.0,2025-08
884,2026-02-25,2,Customer 002,Pune,Premium,Goa Stay 2,Goa,Hotel,5,Confirmed,38815,7763.0,2026-02
382,2026-05-31,3,Customer 003,Hyderabad,Standard,Manali Stay 6,Manali,Hotel,4,Completed,29784,7446.0,2026-05
732,2025-07-08,3,Customer 003,Hyderabad,Standard,Varanasi Stay 3,Varanasi,Hotel,5,Completed,55915,11183.0,2025-07
327,2025-07-18,4,Customer 004,Kolkata,Budget,Ladakh Stay 8,Ladakh,Hotel,4,Confirmed,45360,11340.0,2025-07
433,2025-12-31,4,Customer 004,Kolkata,Budget,Udaipur Stay 4,Udaipur,Hostel,7,Confirmed,20069,2867.0,2025-12
640,2026-02-17,4,Customer 004,Kolkata,Budget,Kerala Stay 4,Kerala,Homestay,1,Completed,1927,1927.0,2026-02
994,2025-09-03,4,Customer 004,Kolkata,Budget,Manali Stay 4,Manali,Hotel,7,Completed,74991,10713.0,2025-09
528,2026-06-22,6,Customer 006,Jaipur,Premium,Udaipur Stay 2,Udaipur,Homestay,6,Completed,55542,9257.0,2026-06
794,2026-05-28,6,Customer 006,Jaipur,Premium,Kerala Stay 3,Kerala,Resort,3,Completed,34242,11414.0,2026-05
202,2025-12-30,7,Customer 007,Delhi,Budget,Kerala Stay 3,Kerala,Resort,7,Completed,79898,11414.0,2025-12
993,2026-05-15,7,Customer 007,Delhi,Budget,Kerala Stay 3,Kerala,Resort,1,Confirmed,11414,11414.0,2026-05
1197,2025-07-03,8,Customer 008,Hyderabad,Premium,Varanasi Stay 5,Varanasi,Hotel,1,Completed,5294,5294.0,2025-07
68,2026-08-03,9,Customer 009,Mumbai,Budget,Udaipur Stay 2,Udaipur,Homestay,6,Confirmed,55542,9257.0,2026-08
608,2026-01-05,9,Customer 009,Mumbai,Budget,Kerala Stay 3,Kerala,Resort,7,Completed,79898,11414.0,2026-01
643,2025-08-26,9,Customer 009,Mumbai,Budget,Jaipur Stay 3,Jaipur,Resort,7,Confirmed,29470,4210.0,2025-08
689,2026-03-07,9,Customer 009,Mumbai,Budget,Ladakh Stay 6,Ladakh,Hotel,7,Completed,54082,7726.0,2026-03
855,2026-03-28,9,Customer 009,Mumbai,Budget,Varanasi Stay 7,Varanasi,Homestay,6,Completed,50328,8388.0,2026-03
83,2025-06-14,10,Customer 010,Delhi,Premium,Ladakh Stay 8,Ladakh,Hotel,4,Completed,45360,11340.0,2025-06
226,2026-02-24,10,Customer 010,Delhi,Premium,Ladakh Stay 1,Ladakh,Hostel,7,Confirmed,83139,11877.0,2026-02
364,2026-07-23,10,Customer 010,Delhi,Premium,Manali Stay 5,Manali,Resort,2,Completed,7378,3689.0,2026-07
607,2026-04-11,10,Customer 010,Delhi,Premium,Manali Stay 6,Manali,Hotel,6,Confirmed,44676,7446.0,2026-04
824,2025-08-26,10,Customer 010,Delhi,Premium,Manali Stay 3,Manali,Hotel,4,Completed,41772,10443.0,2025-08
525,2026-05-01,11,Customer 011,Kolkata,Standard,Varanasi Stay 2,Varanasi,Hotel,1,Completed,11607,11607.0,2026-05
724,2026-02-17,11,Customer 011,Kolkata,Standard,Udaipur Stay 4,Udaipur,Hostel,5,Completed,14335,2867.0,2026-02
1143,2026-06-14,11,Customer 011,Kolkata,Standard,Kerala Stay 6,Kerala,Hotel,6,Completed,35766,5961.0,2026-06
1151,2026-03-19,11,Customer 011,Kolkata,Standard,Udaipur Stay 8,Udaipur,Hotel,1,Completed,9384,9384.0,2026-03
492,2026-06-18,12,Customer 012,Jaipur,Standard,Kerala Stay 5,Kerala,Resort,7,Completed,43155,6165.0,2026-06
611,2026-07-19,12,Customer 012,Jaipur,Standard,Ladakh Stay 1,Ladakh,Hostel,2,Completed,23754,11877.0,2026-07
1010,2026-05-16,12,Customer 012,Jaipur,Standard,Kerala Stay 3,Kerala,Resort,7,Completed,79898,11414.0,2026-05
859,2025-07-04,13,Customer 013,Pune,Budget,Jaipur Stay 2,Jaipur,Homestay,6,Completed,30204,5034.0,2025-07
755,2025-06-29,14,Customer 014,Pune,Premium,Udaipur Stay 2,Udaipur,Homestay,5,Confirmed,46285,9257.0,2025-06
297,2025-11-24,15,Customer 015,Pune,Budget,Varanasi Stay 4,Varanasi,Hostel,7,Confirmed,73927,10561.0,2025-11
551,2026-06-26,15,Customer 015,Pune,Budget,Ladakh Stay 6,Ladakh,Hotel,5,Confirmed,38630,7726.0,2026-06
766,2026-02-24,15,Customer 015,Pune,Budget,Kerala Stay 5,Kerala,Resort,7,Completed,43155,6165.0,2026-02
1092,2026-03-20,15,Customer 015,Pune,Budget,Jaipur Stay 4,Jaipur,Hotel,4,Completed,12340,3085.0,2026-03
1163,2026-06-14,15,Customer 015,Pune,Budget,Goa Stay 8,Goa,Resort,1,Completed,4806,4806.0,2026-06
332,2026-03-01,16,Customer 016,Pune,Budget,Manali Stay 2,Manali,Resort,4,Completed,7940,1985.0,2026-03
498,2026-05-13,17,Customer 017,Kolkata,Budget,Goa Stay 1,Goa,Hostel,7,Completed,53851,7693.0,2026-05
1147,2026-03-20,17,Customer 017,Kolkata,Budget,Varanasi Stay 3,Varanasi,Hotel,1,Completed,11183,11183.0,2026-03
18,2026-02-15,18,Customer 018,Delhi,Standard,Goa Stay 4,Goa,Resort,7,Completed,75453,10779.0,2026-02
96,2025-11-30,18,Customer 018,Delhi,Standard,Jaipur Stay 6,Jaipur,Resort,3,Confirmed,10692,3564.0,2025-11
3,2025-06-11,19,Customer 019,Pune,Budget,Manali Stay 4,Manali,Hotel,7,Completed,74991,10713.0,2025-06
555,2025-12-09,19,Customer 019,Pune,Budget,Ladakh Stay 7,Ladakh,Resort,2,Completed,15346,7673.0,2025-12
841,2026-05-18,20,Customer 020,Kolkata,Premium,Ladakh Stay 2,Ladakh,Homestay,6,Completed,33876,5646.0,2026-05
1171,2026-01-22,20,Customer 020,Kolkata,Premium,Manali Stay 5,Manali,Resort,4,Completed,14756,3689.0,2026-01
309,2025-12-05,21,Customer 021,Kolkata,Standard,Manali Stay 7,Manali,Resort,1,Completed,7233,7233.0,2025-12
576,2025-10-09,21,Customer 021,Kolkata,Standard,Manali Stay 4,Manali,Hotel,7,Confirmed,74991,10713.0,2025-10
36,2026-03-10,23,Customer 023,Mumbai,Budget,Udaipur Stay 5,Udaipur,Homestay,5,Confirmed,52920,10584.0,2026-03
629,2026-05-18,23,Customer 023,Mumbai,Budget,Udaipur Stay 8,Udaipur,Hotel,7,Completed,65688,9384.0,2026-05
149,2026-03-16,24,Customer 024,Jaipur,Budget,Goa Stay 8,Goa,Resort,2,Confirmed,9612,4806.0,2026-03
225,2025-11-04,24,Customer 024,Jaipur,Budget,Ladakh Stay 5,Ladakh,Resort,4,Confirmed,30512,7628.0,2025-11
291,2026-07-23,24,Customer 024,Jaipur,Budget,Manali Stay 4,Manali,Hotel,5,Completed,53565,10713.0,2026-07
1026,2025-10-24,24,Customer 024,Jaipur,Budget,Manali Stay 7,Manali,Resort,3,Completed,21699,7233.0,2025-10
21,2025-08-19,25,Customer 025,Pune,Standard,Kerala Stay 2,Kerala,Hotel,2,Confirmed,23660,11830.0,2025-08
127,2025-12-19,25,Customer 025,Pune,Standard,Manali Stay 3,Manali,Hotel,7,Completed,73101,10443.0,2025-12
295,2025-07-08,25,Customer 025,Pune,Standard,Ladakh Stay 8,Ladakh,Hotel,1,Completed,11340,11340.0,2025-07
933,2025-06-01,25,Customer 025,Pune,Standard,Udaipur Stay 2,Udaipur,Homestay,2,Completed,18514,9257.0,2025-06
61,2026-04-05,26,Customer 026,Hyderabad,Standard,Manali Stay 2,Manali,Resort,7,Completed,13895,1985.0,2026-04
846,2025-09-30,26,Customer 026,Hyderabad,Standard,Udaipur Stay 8,Udaipur,Hotel,7,Completed,65688,9384.0,2025-09
158,2026-07-10,27,Customer 027,Bengaluru,Budget,Jaipur Stay 2,Jaipur,Homestay,4,Completed,20136,5034.0,2026-07
359,2025-06-26,27,Customer 027,Bengaluru,Budget,Udaipur Stay 8,Udaipur,Hotel,5,Confirmed,46920,9384.0,2025-06
